PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
06x2K,3r2k1/2p2ppp/p5q1/1p2r3/8/2P2Q2/PP3PPP/3R1RK1 b - - 1 24,d8d1 f3a8 d1d8 a8d8 e5e8 d8e8,1575,74,91,129,endgame long mate mateIn3,https://lichess.org/03OrLBES/black#48,
06x5y,3r1nrk/pp3p1p/2p1bPpQ/2q5/5R1R/2B4P/P1B3P1/7K b - - 11 34,c5c3 h6h7 f8h7 h4h7 h8h7 f4h4,1384,77,94,6571,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/SbIIdMmr/black#68,
06xEN,8/1p6/2p4k/2P2K1P/8/8/pr6/R7 b - - 2 43,h6h5 a1h1 b2h2 h1h2,799,81,91,152,endgame mate mateIn2 rookEndgame short,https://lichess.org/RBVlKS0T/black#86,
06xIV,5rk1/2p1b1p1/3p3p/P5pP/2P1q1b1/4B1P1/1P1Q1r1R/R3K3 w Q - 0 29,h2f2 e4h1 f2f1 f8f1,1593,110,0,15,mate mateIn2 middlegame short,https://lichess.org/KBWLhfQ0#57,
06xMJ,4r1k1/ppp1nppp/8/8/2BP2n1/1PBQ1N1q/P4P2/R5K1 w - - 2 19,f3e5 h3h2 g1f1 h2f2,987,79,96,2883,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/iMbuDXyU#37,French_Defense French_Defense_Steiner_Variation
06xcF,r1b3k1/2q4p/p3p1pQ/3N1r2/8/8/PP3PPP/3RR1K1 b - - 0 23,e6d5 e1e8 f5f8 h6f8,763,90,96,942,mate mateIn2 middlegame short,https://lichess.org/6ZmTgKvx/black#46,
06xqu,4r2k/ppp4p/3q4/2nPNr2/3Q1P2/8/PPP4P/2K3R1 b - - 3 21,f5f6 e5f7,899,80,-1500,339,mate mateIn1 middlegame oneMove pin,https://lichess.org/OdE7Skk9/black#42,
06xvC,3k1r2/ppp4q/3bp3/4p1N1/3pP1P1/3P1K2/PPPQ1P1r/R6R w - - 10 25,f3g3 h7h4,1190,138,58,17,mate mateIn1 middlegame oneMove,https://lichess.org/ct8wpZjk#49,
06xyr,4r1k1/pp4N1/2pQ4/8/3P2P1/2PKq3/bP2rP2/3R3R w - - 1 28,f2e3 e8e3,1107,76,84,96,mate mateIn1 middlegame oneMove,https://lichess.org/41rGydIs#55,
06yFN,rn1k3r/ppp3pp/4Q3/4N3/3qn1PP/2b5/PP6/R1B1KB1R w KQ - 0 15,b2c3 d4f2 e1d1 e4c3,1578,85,86,92,intermezzo mate mateIn2 middlegame short,https://lichess.org/P86Dgx3B#29,Blackmar-Diemer_Gambit_Accepted Blackmar-Diemer_Gambit_Accepted_Teichmann_Defense
06yZx,5r2/k5qp/P2p4/2bBp3/Qp2P3/7P/5rP1/RR5K w - - 1 36,a4c6 g7g2,987,76,100,239,mate mateIn1 middlegame oneMove,https://lichess.org/N6FBWVXO#71,
06yez,r2k1b1r/pp1b1Bpp/2n5/3Qp1q1/8/3P4/PP2PP1P/RN2K1NR w KQ - 3 12,g1f3 g5c1,1133,79,94,1060,mate mateIn1 middlegame oneMove,https://lichess.org/IclMHAJl#23,Grob_Opening Grob_Opening_Spike
06yli,6k1/p4ppp/b3p3/P2p4/1RpP4/4PP1P/3rn1PK/1B6 b - - 1 29,h7h6 b4b8 a6c8 b8c8,876,152,54,21,endgame mate mateIn2 short,https://lichess.org/SToCqUch/black#58,
06ymg,3r1rk1/1p3p1p/p2bpBp1/3p3q/5Q2/5P2/N3BP1P/R5RK w - - 1 25,f4d4 h5h2,1118,93,83,27,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/ICMe3zYa#49,
06yrm,2kr3r/pp1n1pp1/2p1pn1p/2b2q2/2B2B2/2N2Q1P/PPP4P/R4R1K b - - 6 17,g7g5 f3c6 b7c6 c4a6,1435,85,73,638,bodenMate mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/3rngJxR1/black#34,Caro-Kann_Defense Caro-Kann_Defense_Ulysses_Gambit
06yy6,4R3/5p1k/6Np/2p3p1/6P1/7P/2r2r2/4R1K1 b - - 0 30,f7g6 e1e7 f2f7 e7f7,870,79,96,406,endgame mate mateIn2 rookEndgame short,https://lichess.org/dRX8tw9a/black#60,
06z5j,2b2r1k/1p3Rp1/p1p4p/7n/8/P6P/1P4P1/1B1R2K1 b - - 0 30,f8f7 d1d8 f7f8 d8f8,473,89,76,172,endgame fork mate mateIn2 short,https://lichess.org/bfbOgaji/black#60,
